title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
Gone,4.4,1970,Prime Video,2012.0,PG-13,Heitor Dhalia,"Amanda Seyfried,Jennifer Carpenter,Wes Bentley",4.830464886251237
The Mist,4.5,13833,Prime Video,2007.0,R,Frank Darabont,"Thomas Jane,Marcia Gay Harden,Laurie Holden",4.830464886251237
The Sandlot,4.9,27905,Prime Video,1993.0,PG,"David Mickey Evans,David J. Evans,David M. Evans","Tom Guiry,Mike Vitar,Patrick Renna,Chauncey Leopardi",3.79
Of an Age,4.4,101,Prime Video,2023.0,R,Goran Stolevski,"Elias Anton,Thom Green,Hattie Hook",5.99
Tyler Perry's I Can Do Bad All By Myself,4.8,1348,Prime Video,2009.0,PG-13,Tyler Perry,"Tyler Perry,Taraji P. Henson",4.830464886251237
Barbie (Blu-Ray + Digital),4.5,1639,Blu-ray,2023.0,R,greta gerwig,"margot robbie,ryan gosling,will ferrell",24.96
The Gambler,4.1,6453,Prime Video,2014.0,R,,Rupert Wyatt,4.830464886251237
Red Dragon,4.7,8030,Prime Video,2002.0,R,Brett Ratner,"Anthony Hopkins,Edward Norton,Ralph Fiennes",3.79
Madea Gets A Job ( Stage Play),5.0,1,Prime Video,2013.0,R,Tyler Perry,"Tyler Perry,Patrice Lovely",4.830464886251237
Recoil,4.4,500,Prime Video,2012.0,R,Terry Miles,"Steve Austin,Danny Trejo,Serinda Swan",1.99
Legion,4.6,5173,Prime Video,2010.0,R,Scott Stewart,"Paul Bettany,Lucas Black,Tyrese Gibson",3.59
Queen Bees,4.4,17100,Prime Video,2021.0,PG-13,Michael Lembeck,"Ellen Burstyn,James Caan,Ann-Margret,Jane Curtin",3.99
Peace by Chocolate,4.5,74,Prime Video,2022.0,R,Jonathan Keijser,"Hatem Ali,Ayham Abou Ammar,Mark Camacho,Yara Sabri",1.99
Christmas Belle,4.6,373,Prime Video,2013.0,R,Alex Wright,"Haylie Duff,Nicholas Gonzalez,Mark Famiglietti",4.830464886251237
Henry VII: The Winter King,4.0,135,Prime Video,2013.0,PG,,Stuart Elliott,4.830464886251237
Belly,4.7,6679,Prime Video,1998.0,R,Hype Williams,"Nas,Dmx,Taral Hicks,Hassan Johnson",3.99
The Sons of Katie Elder,4.8,2964,Prime Video,1965.0,R,Henry Hathaway,"John Wayne,Dean Martin,Martha Hyer",3.59
Looking For Her,4.7,29,Prime Video,2022.0,R,Alexandra Swarens,"Olivia Buckle,Alexandra Swarens,Sophie Arrick-Lewis",4.830464886251237
Dino King,4.3,149,Prime Video,2013.0,R,Han Sang-ho,Goo Ja-hyeong,4.830464886251237
Devil's Pond,4.3,190,Prime Video,2005.0,R,Joel Viertel,"Kip Pardue,Tara Reid,Meredith Baxter,Dan Gunther",4.830464886251237
Country Remedy,4.2,2317,Prime Video,2007.0,R,Andrew C. Erin,"Cameron Bancroft,Bellamy Young,Aidan Mitchell",4.830464886251237
Curious George: A Halloween Boo Fest,4.9,3104,Prime Video,2013.0,R,"Scott Heming,Andrei Svislotski","Frank Welker,Jeff Bennett,Carlos Alazraqui",7.99
Undiscovered Disney Parks,4.2,140,Prime Video,2006.0,R,Lightship Entertainment,"Mickey Mouse,Walt Disney",4.830464886251237
Imagine That,4.5,844,Prime Video,2009.0,PG,---,"Eddie Murphy,Thomas Haden Church,Yara Shahidi",3.79
The Marriage Fool (Restored),4.0,38,Prime Video,1998.0,R,Charles Matthau,"Walter Matthau,Carol Burnett,John Stamos,Teri Polo",1.99
The Shining,4.7,32282,Prime Video,1980.0,R,Stanley Kubrick,"Jack Nicholson,Shelley Duvall,Danny Lloyd",3.79
Alien Vs. Predator,4.6,7726,Prime Video,2004.0,PG-13,"Paul Anderson,Paul W.S. Anderson","Lance Henriksen,Sanaa Lathan,Raoul Bova,Ewen Bremner",3.79
See Jane Date,4.2,110,Prime Video,2023.0,R,Robert Berlinger,"Charisma Carpenter,Zachary Levi",4.830464886251237
Legend of the Lost,4.5,519,Prime Video,1957.0,R,Henry Hathaway,"John Wayne,Sophia Loren,Rossano Brazzi",4.830464886251237
Ghost In the Shell,4.7,3256,Prime Video,1996.0,R,Mamoru Oshii,"Richard Epcar,Christopher Joyce,William Knight",4.830464886251237
School Ties,4.7,1381,Prime Video,1992.0,R,Robert Mandel,"Brendan Fraser,Matt Damon,Chris O'Donnell,Ben Affleck",3.99
Eye for an Eye,4.7,1936,Prime Video,1996.0,R,,John Schlesinger,4.830464886251237
Young Billy Young,4.2,151,Prime Video,1969.0,G,Burt Kennedy,"Robert Mitchum,Angie Dickinson,Robert Walker",4.830464886251237
SAPPY HOLIDAY,4.8,74,Prime Video,2022.0,PG,Andrew Cymek,"Brigitte Kingsley,Jon McLaren,Troy Blundell",4.830464886251237
Mistaken,4.0,5,Prime Video,2017.0,R,Alfred Robbins,"Nadia Kounda,James Whalen,Chantal Nchako",1.99
Spider-Man: Into the Spider-Verse,4.8,66164,Prime Video,2018.0,PG,"Bob Persichetti,Peter Ramsey,Rodney Rothman","Shameik Moore,Jake M. Johnson,Hailee Steinfeld",3.59
Pimp,4.1,2146,Prime Video,2018.0,R,Christine Crokos,"Keke Palmer,Edi Gathegi,Aunjanue Ellis,Vanessa Morgan",2.99
Days of Thunder,4.7,7032,Prime Video,1990.0,PG-13,Tony Scott,"Tom Cruise,Robert Duvall,Randy Quaid,Nicole Kidman",3.79
The Layover,4.1,538,Prime Video,2017.0,R,William H. Macy,"Kate Upton,Alexandra Daddario,Matt Barr,Matt Jones",7.99
Man on Fire,4.8,15269,Prime Video,2004.0,R,Tony Scott,"Denzel Washington,Dakota Fanning,Christopher Walken",4.830464886251237
CoComelon - JJ's Animal Time,4.5,10,Prime Video,2022.0,R,,Moonbug Entertainment,1.99
Take Me Home,4.1,3545,Prime Video,2011.0,PG-13,Sam Jaeger,"Bree Turner,Lin Shaye,Victor Garber,Sam Jaeger",4.830464886251237
"Sex, Love, Misery: New New York",5.0,9,Prime Video,2022.0,R,Shannon Alexander,"Aisha Kerensa,Camila Sanchez,Emile Filippi",4.830464886251237
Batman Returns,4.7,6906,Prime Video,1992.0,PG-13,Tim Burton,"Michael Keaton,Michelle Pfeiffer,Christopher Walken",3.99
Jeff Dunham: Arguing with Myself,4.8,2394,Prime Video,2006.0,R,Manny Rodriguez,Jeff Dunham,4.830464886251237
Nazi Death Marches,5.0,1,Prime Video,2023.0,R,Virginie Linhart,Caroline Ferrus,4.830464886251237
Dancing Detective: A Deadly Tango,4.7,5,Prime Video,2023.0,R,Stefan Scaini,"Lacey Chabert,Will Kemp",4.830464886251237
Runaway Train,4.6,1025,Prime Video,1985.0,R,,Andrei Konchalovsky,4.830464886251237
The LEGO Movie,4.7,24419,Prime Video,2014.0,PG,"Phil Lord,Christopher Miller","Chris Pratt,Will Ferrell,Elizabeth Banks,Will Arnett",3.99
Thirteen Lives,4.8,1689,Prime Video,2022.0,PG-13,Ron Howard,"Viggo Mortensen,Colin Farrell,Joel Edgerton",4.830464886251237
Stuck in Love,4.6,672,Prime Video,2013.0,R,Josh Boone,"Greg Kinnear,Jennifer Connelly,Kristen Bell",4.830464886251237
Get a Job,4.1,1058,Prime Video,2016.0,R,Dylan Kidd,"MilesTeller,Bryan Cranston,Anna Kendrick,Alison Brie",3.79
Hatchet,4.3,2104,Prime Video,2007.0,R,Adam Green,"Joel David Moore,Deon Richmond,Mercedes McNab",4.830464886251237
The Couch Trip,4.4,138,Prime Video,1988.0,R,Michael Ritchie,"Dan Aykroyd,Walter Matthau,Charles Grodin,Donna Dixon",4.830464886251237
Tim Burton's The Nightmare Before Christmas,4.8,55248,Prime Video,1993.0,PG,Henry Selick,"Chris Sarandon,Catherine O'Hara,William Hickey",3.79
Dr. No HD,4.4,11,Prime Video,1963.0,PG,Terence Young,"Sean Connery,Joseph Wiseman",4.830464886251237
Aloha,4.3,6446,Prime Video,2015.0,R,Cameron Crowe,"Emma Stone,Rachel McAdams,Ivana Milicevic",3.99
Star Trek (2009),4.8,28619,Prime Video,2009.0,PG-13,J.J. Abrams,"John Cho,Ben Cross,Bruce Greenwood,Simon Pegg",3.79
Transformers: Revenge of the Fallen,4.7,20219,Prime Video,2009.0,PG-13,Michael Bay,"Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson",4.830464886251237
The Far Pavilions,4.5,603,Prime Video,1984.0,R,Peter Duffell,"Omar Sharif,Ben Cross,Amy Irving,Christopher Lee",2.99
Triggered,4.0,285,Prime Video,2020.0,R,Alastair Orr,"Reine Swart,Liesl Ahlers,Russel Crous",4.830464886251237
Hot Tub Time Machine 2,4.2,6849,Prime Video,2015.0,R,Steve Pink,"Rob Cordry,Craig Robinson,Clark Duke,Adam Scott",4.29
Spider-Man Across The Spider-Verse: Sneak Peek,5.0,2,Prime Video,2023.0,PG,"Joaquim Dos Santos,Kemp Powers,Justin K. Thompson","Shameik Moore,Hailee Steinfeld,Jake Johnson,Issa Rae",4.830464886251237
Robots,4.8,13137,Prime Video,2005.0,PG,"Chris Wedge,Carlos Saldanha","Ewan McGregor,Halle Berry,Greg Kinnear,Mel Brooks",3.79
Humpty Dumpty & More Kids Songs - Super Simple Songs,4.4,105,Prime Video,2017.0,R,,Super Simple Songs,0.99
A View to a Kill,4.6,2098,Prime Video,1985.0,PG,John Glen,"Roger Moore,Christopher Walken,Tanya Roberts",4.830464886251237
Stuck in Love,4.6,672,Prime Video,2013.0,R,Josh Boone,"Greg Kinnear,Jennifer Connelly,Kristen Bell",4.830464886251237
Once Upon a Time in the West,4.7,6548,Prime Video,1969.0,PG-13,Sergio Leone,"Henry Fonda,Claudia Cardinale,Jason Robards",3.79
The Couch Trip,4.4,138,Prime Video,1988.0,R,Michael Ritchie,"Dan Aykroyd,Walter Matthau,Charles Grodin,Donna Dixon",4.830464886251237
The Retrievers,4.3,100,Prime Video,2001.0,R,Paul Schneider,"Robert Hays,Mei Harris,Alan Rachins",4.830464886251237
Once Upon a Time in the West,4.7,6548,Prime Video,1969.0,PG-13,Sergio Leone,"Henry Fonda,Claudia Cardinale,Jason Robards",3.79
Tomorrow Never Dies,4.6,2721,Prime Video,1997.0,PG-13,Roger Spottiswoode,"Pierce Brosnan,Michelle Yeoh,Teri Hatcher",4.830464886251237
Hatchet,4.3,2104,Prime Video,2007.0,R,Adam Green,"Joel David Moore,Deon Richmond,Mercedes McNab",4.830464886251237
The Fire That Took Her,4.9,9,Prime Video,2022.0,R,,Patricia E. Gillespie,19.99
Sabrina The Teenage Witch,4.4,92,Prime Video,1996.0,PG,Tibor Takács,"Melissa Joan Hart,Ryan Reynolds,Sherry Miller",4.830464886251237
Stan Helsing,4.3,705,Prime Video,2009.0,R,Bo Zenga,"Steve Howey,Kenan Thompson,Leslie Nielsen,Diora Baird",4.830464886251237
Skin Trade,4.1,316,Prime Video,2015.0,R,Ekachai Uekrongtham,"Dolph Lundgren,Tony Jaa,Michael Jai White,Ron Perlman",2.99
Beverly Hills Cop,4.8,7442,Prime Video,1984.0,R,Martin Brest,"Eddie Murphy,Judge Reinhold,John Ashton",3.99
The Gate,4.7,2045,Prime Video,1987.0,PG-13,Tibor Takacs,"Stephen Dorff,Christa Denton,Louis Tripp",4.830464886251237
FLU,4.2,1425,Prime Video,2013.0,R,Sung-su Kim,"Hyuk Jang,Soo Ae,In-Pyo Cha,Hee-joon Lee",3.99
The Suicide Squad,4.2,14797,Prime Video,2021.0,R,James Gunn,"Margot Robbie,Idris Elba,John Cena,Joel Kinnaman",4.830464886251237
Elf,4.8,123979,Prime Video,2003.0,PG,Jon Favreau,"Will Ferrell,James Caan,Bob Newhart,Ed Asner",3.99
In The Blood,4.3,1209,Prime Video,2014.0,R,John Stockwell,"Gina Carano,Danny Trejo,Cam Gigandet,Treat Williams",4.830464886251237
Underdogs,4.5,125,Prime Video,2013.0,PG,Doug Dearth,"D. B. Sweeney,Logan Huffman,Charlie Carver",4.830464886251237
The Secret,4.6,11374,Prime Video,2006.0,R,Drew Heriot,"Rhonda Byrne,John Assaraf,Michael Beckwith,Lee Brower",2.99
Transformers: Revenge of the Fallen,4.7,20219,Prime Video,2009.0,PG-13,Michael Bay,"Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson",4.830464886251237
Body of Lies,4.8,9,Prime Video,2008.0,R,Ridley Scott,"Leonardo DiCaprio,Russell Crowe,Mark Strong",4.830464886251237
"Map of Tiny Perfect Things, The",4.5,2119,Prime Video,2021.0,PG-13,Ian Samuels,"KATHRYN NEWTON,KYLE ALLEN,AL MADRIGAL,JERMAINE HARRIS",4.830464886251237
Rollerball (2002),4.3,498,Prime Video,2002.0,R,,John McTiernan,4.830464886251237
The Mandela Effect,4.0,1476,Prime Video,2019.0,R,David Guy Levy,"Charlie Hofheimer,Aleksa Palladino,Robin Lord Taylor",4.830464886251237
Tyler Perry's Madea Goes to Jail - The Play,4.7,3784,Prime Video,2009.0,R,Tyler Perry,"Cheryl Pepsii Riley,Cassi Davis,LaVan Davis",3.79
Falling for Vermont,4.8,270,Prime Video,2017.0,R,David Winning,"Julie Gonzalo,Benjamin Ayres",0.99
Annabelle,4.5,23599,Prime Video,2014.0,R,John R. Leonetti,"Annabelle Wallis,Ward Horton,Alfre Woodard",3.99
Desperation Road,4.4,8,Prime Video,2023.0,R,Nadine Crocker,"Garrett Hedlund,Willa Fitzgerald,Ryan Hurst",6.99
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),4.2,91643,Prime Video,2020.0,R,Cathy Yan,"Margot Robbie,Mary Elizabeth Winstead",4.830464886251237
"Sex, Love, Misery: New New York",5.0,9,Prime Video,2022.0,R,Shannon Alexander,"Aisha Kerensa,Camila Sanchez,Emile Filippi",4.830464886251237
A Turtle's Tale 2: Sammy's Escape From Paradise,4.3,408,Prime Video,2013.0,R,"Vincent Kesteloot, Ben Stassen, Mimi Maynard",Khary Payton,4.830464886251237
Heal,4.4,1573,Prime Video,2017.0,R,"Kelly Noonan Gores,Adam Schomer","Dr. Deepak Chopra,Dr. Joe Dispenza,Anita Moorjani",2.99
The Little Mermaid (Bonus Content and X-Ray Features),4.5,5164,Prime Video,2023.0,PG,Rob Marshall,"Halle Bailey,Jonah Hauer-King,Daveed Diggs,Awkwafina",12.99
The Devil You Know,4.5,8648,Prime Video,2022.0,R,Charles Murray,"Michael Ealy,Omar Epps,Michael Beach,Erica Tazel",3.99
The Devil You Know,4.5,8648,Prime Video,2022.0,R,Charles Murray,"Michael Ealy,Omar Epps,Michael Beach,Erica Tazel",3.99
Out of the Dark,4.1,221,Prime Video,2015.0,PG-13,Lluís Quílez,"Julia Stiles,Scott Speedman,Stephen Rea",4.830464886251237
Hats Off To Christmas!,4.7,204,Prime Video,2013.0,R,Terry Ingram,"Haylie Duff,Antonio Cupo,Jay Brazeau",4.830464886251237
The Lego Movie 2: The Second Part,4.7,18602,Prime Video,2019.0,PG,Mike Mitchell,"Chris Pratt,Elizabeth Banks,Will Arnett,Alison Brie",4.830464886251237
Christmas in the Smokies,4.7,408,Prime Video,2015.0,R,Gary Wheeler,"Sarah Lancaster,Barry Corbin,Alan Powell,Jill Wagner",4.830464886251237
Desperation Road,4.4,8,Prime Video,2023.0,R,Nadine Crocker,"Garrett Hedlund,Willa Fitzgerald,Ryan Hurst",6.99
Halloween H20: 20 Years Later,4.6,6535,Prime Video,1998.0,R,"Miner,Steve","Jamie Lee Curtis,Adam Arkin,Michelle Williams",2.99
Falling for Vermont,4.8,270,Prime Video,2017.0,R,David Winning,"Julie Gonzalo,Benjamin Ayres",0.99
A Turtle's Tale 2: Sammy's Escape From Paradise,4.3,408,Prime Video,2013.0,R,"Vincent Kesteloot, Ben Stassen, Mimi Maynard",Khary Payton,4.830464886251237
Barbie (4K Ultra HD + Digital) [4K UHD],4.5,1639,4K,2023.0,R,greta gerwig,"margot robbie,ryan gosling,will ferrell",29.96
Annabelle,4.5,23599,Prime Video,2014.0,R,John R. Leonetti,"Annabelle Wallis,Ward Horton,Alfre Woodard",3.99
Death Race 2000,4.6,954,Prime Video,1975.0,R,Paul Bartel,"Sylvester Stallone,David Carradine,Simone Griffeth",4.830464886251237
The Visitor,4.5,995,Prime Video,2008.0,PG-13,Thomas McCarthy,"Richard Jenkins, Maggie Moore, Hiam Abbass, Amir Arison",3.99
Murphy's Law,4.5,353,Prime Video,1986.0,R,J. Lee Thompson,"Robert F. Lyons,Charles Bronson,Kathleen Wilhoite",4.830464886251237
I Am T-Rex,4.0,70,Prime Video,2023.0,R,"Shang Ming,Si Lin","Ben Balmaceda,Charlie Campbell,Y. Chang",3.99
Neighbors,4.5,11360,Prime Video,2014.0,R,Nicholas Stoller,"Seth Rogen,Zac Efron,Rose Byrne",3.59
Judas and the Black Messiah,4.7,6994,Prime Video,2021.0,R,Shaka King,"Daniel Kaluuya,Lakeith Stanfield,Jesse Plemons",2.89
The Locusts,4.3,42,Prime Video,1997.0,R,John Patrick Kelley,"Kate Capshaw,Jeremy Davies",4.830464886251237
The Founder,4.7,6153,Prime Video,2017.0,PG-13,John Lee Hancock,"Michael Keaton,Laura Dern,Linda Cardellini",4.830464886251237
Karen,4.1,19745,Prime Video,2021.0,R,Coke Daniels,"Taryn Manning,Cory Hardrict,Jasmine Burke",2.99
The Lazarus Effect,4.1,1598,Prime Video,2015.0,PG-13,David Gelb,"Mark Duplass,Olivia Wilde,Sarah Bolger,Evan Peters",3.0
The Suicide Squad,4.2,14797,Prime Video,2021.0,R,James Gunn,"Margot Robbie,Idris Elba,John Cena,Joel Kinnaman",4.830464886251237
Haunt,4.2,4829,Prime Video,2019.0,R,"Scott Beck,Bryan Woods","Katie Stevens,Will Brittain,Lauryn Alisa McClain",4.830464886251237
Dominion: Prequel To The Exorcist,4.1,759,Prime Video,2005.0,R,Paul Schrader,"Stellan Skarsgard,Ralph Brown,Gabriel Mann",4.830464886251237
China Doll,4.6,87,Prime Video,1958.0,R,"Borzage,Frank","Victor Mature,Stuart Whitman",4.830464886251237
The Hired Heart,4.5,209,Prime Video,1997.0,R,Jeremy Kagan,"Penelope Ann Miller,Brett Cullen,Barry Corbin",4.830464886251237
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),4.2,91643,Prime Video,2020.0,R,Cathy Yan,"Margot Robbie,Mary Elizabeth Winstead",4.830464886251237
My Bloody Valentine,4.5,2565,Prime Video,2009.0,R,Patrick Lussier,"Jaime King,Edi Gathegi,Kerr Smith,Jensen Ackles",4.830464886251237
Adeline,4.6,343,Prime Video,2022.0,R,Greg James,"John Schneider,David Chokachi,Jake Satow",4.830464886251237
Trick or Treat Scooby-Doo!,4.4,1073,Prime Video,2022.0,R,Audie Harrison,"Frank Welker,Grey DeLisle,Matthew Lillard",3.99
Catch Hell,4.1,141,Prime Video,2014.0,R,Ryan Phillippe,"Ryan Phillippe,Ian Barford,Stephen Louis Grush",4.830464886251237
P!nk: All I Know So Far,4.8,1083,Prime Video,2021.0,R,,Michael Gracey,4.830464886251237
Quest for the Lost Pharaoh,4.3,9,Prime Video,2003.0,PG,Pierre Stine,Vassil Dobrev,4.830464886251237
Titanic,4.8,58050,Prime Video,1997.0,PG-13,James Cameron,"Leonardo DiCaprio,Kate Winslet,Billy Zane",3.99
Admission,4.2,1601,Prime Video,2013.0,PG-13,Paul Weitz,"Tina Fey,Paul Rudd,Michael Sheen,Nat Wolff",3.79
Traded,4.0,321,Prime Video,2016.0,R,Timothy Woodward Jr.,"Quinton Aaron,Trace Adkins,Tom Sizemore,Martin Kove",4.830464886251237
Warhorse One,4.3,1199,Prime Video,2023.0,R,"Johnny Strong,William Kaufman","Johnny Strong,Athena Durner,Raj Kala",2.99
Daylight,4.6,2776,Prime Video,1996.0,PG-13,"Rob L. Cohen,Rob Cohen","Vanessa Bell Calloway,Rosemary Forsythe",3.79
Lost Child,4.0,391,Prime Video,2018.0,R,Ramaa Mosley,"Leven Rambin,Jim Parrack,Landon Edwards",2.99
The Big Country,4.8,3819,Prime Video,1958.0,R,William Wyler,"Gregory Peck,Jean Simmons,Carroll Baker",4.830464886251237
Elvira: Mistress of the Dark,4.8,3964,Prime Video,1988.0,PG-13,James Signorelli,"Cassandra Peterson,Susan Kellerman,Jeff Conaway",2.99
The Retrievers,4.3,100,Prime Video,2001.0,R,Paul Schneider,"Robert Hays,Mei Harris,Alan Rachins",4.830464886251237
Blindfire,4.2,487,Prime Video,2020.0,R,Mike Nell,"Brian Geraghty,Bethany Joy Lenz,Wayne Brady",4.830464886251237
Gangs Of New York,4.7,6675,Prime Video,2002.0,R,Martin Scorsese,"Leonardo DiCaprio,Daniel Day-Lewis,Cameron Diaz",4.830464886251237
Scooby-Doo 2: Monsters Unleashed,4.7,8497,Prime Video,2004.0,PG,Raja Gosnell,"Freddie Prinze,Sarah Michelle Gellar,Neil Fanning",4.830464886251237
A Walk in the Clouds,4.8,7231,Prime Video,1995.0,PG-13,Alfonso Arau,"Keanu Reeves,Aitana Sanchez-Gijon,Anthony Quinn",3.79
"Love, Kennedy",4.6,655,Prime Video,2017.0,PG,T.C. Christensen,"Jasen Wade,Heather Beers,Tatum Chiniquy",4.830464886251237
Mary Higgins Clark's: Try to Remember,4.2,99,Prime Video,2004.0,PG-13,Jeff Beesely,"Gabrielle Anwar,Max Martini,Diego Wallraff",4.830464886251237
Captain America: The Winter Soldier,4.8,26859,Prime Video,2014.0,R,"Anthony Russo,Joe Russo","Chris Evans,Scarlett Johansson,Samuel L. Jackson",3.99
Tag,4.6,16869,Prime Video,2018.0,R,Jeff Tomsic,"Ed Helms,Jake Johnson,Annabelle Wallis",3.99
RV,4.7,6206,Prime Video,2006.0,PG,Barry Sonnenfeld,"Diane Michelle,Robin Williams,Jeff Daniels",3.99
Eraser: Reborn,4.0,2355,Prime Video,2022.0,R,John Pogue,"Dominic Sherwood,Jacky Lai",3.79
Dark Skies,4.3,2844,Prime Video,2009.0,R,Ron Oliver,"Shawn Roberts,Leslie Hope",1.99
Kill Bill: Volume 2,4.8,7275,Prime Video,2004.0,R,Quentin Tarantino,"Uma Thurman,David Carradine,Michael Madsen",3.79
Red 2,4.7,25730,Prime Video,2013.0,PG-13,Dean Parisot,"Catherine Zeta-Jones,David Thewlis,Bruce Willis",3.99
Status Update,4.2,894,Prime Video,2018.0,PG-13,Scott Speer,"Ross Lynch,Olivia Holt,The Fat Jewish,Courtney Eaton",2.99
Enter the Fat Dragon,4.0,3162,Prime Video,2020.0,R,Kenji Tanigaki,"Donnie Yen,Teresa Mo,Wong Jing,Niki Chow",4.830464886251237
Elemental (Includes Bonus Content),4.8,2930,Prime Video,2023.0,PG,Peter Sohn,"Leah Lewis,Mamoudou Athie,Ronnie del Carmen",19.99
The 355,4.2,11815,Prime Video,2022.0,PG-13,Simon Kinberg,"Jason Flemyng,Penélope Cruz,Jessica Chastain",4.830464886251237
Barefoot,4.2,5559,Prime Video,2014.0,PG-13,Andrew Fleming,"Evan Rachel Wood,Scott Speedman",3.99
Where Your Heart Belongs,4.0,37,Prime Video,2022.0,R,Christine Will Wolf,"Jen Lilley,Christopher Russell,Jill Morrison",4.830464886251237
The Lost Boys,4.8,20736,Prime Video,1987.0,R,Joel Schumacher,"Jason Patric,Corey Feldman,Kiefer Sutherland",4.830464886251237
Top Gun,4.8,6236,Prime Video,1986.0,PG,Tony Scott,"Tom Cruise,Tim Robbins,Kelly McGillis",3.79
Harley Davidson and the Marlboro Man,4.7,3873,Prime Video,1991.0,R,Simon Wincer,"Mickey Rourke,Don Johnson,Chelsea Field",4.830464886251237
X-Men,4.7,6959,Prime Video,2000.0,PG-13,Bryan Singer,"Ian McKellen,Patrick Stewart,Dougray Scott",3.79
The Secret Life of Pets,4.8,41213,Prime Video,2016.0,R,Chris Renaud,"Louis C.K,Eric Stonestreet,Kevin Hart,Jenny Slate",3.79
Hustle & Flow,4.7,4099,Prime Video,2005.0,R,Craig Brewer,"Terrence Howard,Anthony Anderson,Taryn Manning",4.830464886251237
Aachar & Co.,5.0,51,Prime Video,2023.0,R,Sindhu Sreenivasa Murthy,"Sindhu Sreenivasa Murthy,Ashok L,Sudha Belawadi",4.830464886251237
The Last Exorcism Part II,4.2,364,Prime Video,2013.0,PG-13,Ed Gass-Donnelly,"Ashley Bell,Julia Garner,Spencer Treat Clark",4.19
Allan Quatermain And The Lost City Of Gold,4.4,564,Prime Video,1987.0,PG,,Gary Nelson,4.830464886251237
Hamburger Hill,4.6,2142,Prime Video,1987.0,R,John Irvin,"Anthony Barrile,Michael Boatman,Don Cheadle",3.99
Marty,4.7,976,Prime Video,1955.0,R,Delbert Mann,"Ernest Borgnine,Betsy Blair,Esther Minciotti",3.09
No Good Deed,4.7,7101,Prime Video,2014.0,PG-13,Sam Miller,"Idris Elba,Taraji P. Henson,Kate del Castillo",3.59
Nobody Will Believe You,4.2,74,Prime Video,2021.0,R,,Reel One Entertainment Inc.,2.99
Return to the Lost World,4.1,373,Prime Video,1992.0,R,Timothy Bond,"John Rhys-Davies,Eric McCormack,David Warner",4.830464886251237
The Gathering (2002),4.0,296,Prime Video,2002.0,R,Brian Gilbert,"Christina Ricci,Ioan Gruffudd,Stephen Dillane",4.830464886251237
Bad Ass,4.3,1334,Prime Video,2012.0,R,Craig Moss,"Danny Trejo,Charles S. Dutton,Patrick Fabian",4.830464886251237
Eddie Griffin: You Can Tell 'Em I Said It,4.7,285,Prime Video,2011.0,R,Jay Karas,Eddie Griffin,4.830464886251237
The Road,4.5,3247,Prime Video,2009.0,R,John Hillcoat,"Viggo Mortensen,Charlize Theron,Guy Pearce",4.830464886251237
